,building,geometry,osm_id,area,category
97,yes,"MultiPolygon (((910312.59787760453764349 7010918.03344756830483675, 910333.10292780864983797 7010902.5340778399258852, 910325.88942480518016964 7010892.99316343292593956, 910318.1081923987949267 7010898.89590680040419102, 910305.39550655032508075 7010908.5110767288133502, 910312.59787760453764349 7010918.03344756830483675)))",98603929,307.07,residential
98,yes,"MultiPolygon (((910349.46689295535907149 7010857.27980311959981918, 910338.34607582492753863 7010866.02250803261995316, 910353.63024191092699766 7010885.47552491445094347, 910364.7510590412421152 7010876.73279866389930248, 910349.46689295535907149 7010857.27980311959981918)))",98603930,349.96,residential
408,yes,"MultiPolygon (((909438.95138190977741033 7010762.9111740980297327, 909402.82820714742410928 7010773.06447216495871544, 909411.22169675317127258 7010807.84936104249209166, 909449.17051116470247507 7010799.73782322183251381, 909438.95138190977741033 7010762.9111740980297327)))",165386106,1411.09,residential
99,yes,"MultiPolygon (((910447.7731352747650817 7010755.040984857827425, 910470.20401266973931342 7010783.81176154129207134, 910482.7831151292193681 7010774.01112401392310858, 910460.35223773459438235 7010745.24038270674645901, 910447.7731352747650817 7010755.040984857827425)))",98603932,581.75,residential
100,yes,"MultiPolygon (((910403.51250573538709432 7010786.89302507136017084, 910415.223316166899167 7010777.11094556283205748, 910407.82057002908550203 7010768.57251785602420568, 910397.5791768761118874 7010777.20375461410731077, 910403.69061692082323134 7010777.31512546818703413, 910403.51250573538709432 7010786.89302507136017084)))",98603933,132.15,residential
101,yes,"MultiPolygon (((910279.53598883911035955 7010942.05288967210799456, 910300.79801158036570996 7010925.32837094366550446, 910291.97037596057634801 7010914.0982753923162818, 910298.96123998251277953 7010908.60388730838894844, 910292.1707510439446196 7010899.9725082591176033, 910272.70097210432868451 7010915.28625169768929482, 910278.5118495236383751 7010922.67398329544812441, 910272.23343024274799973 7010927.61151626892387867, 910277.5322380046127364 7010934.34958312287926674, 910275.02754946181084961 7010936.31717396713793278, 910279.53598883911035955 7010942.05288967210799456)))",98603934,648.76,residential
102,yes,"MultiPolygon (((909877.09376572316978127 7011177.51779129263013601, 909867.64274095487780869 7011181.28602876979857683, 909875.95830691698938608 7011202.187713329680264, 909885.4093316855141893 7011198.43802875652909279, 909877.88413410761859268 7011179.50400491338223219, 909877.09376572316978127 7011177.51779129263013601)))",98638986,228.9,residential
103,yes,"MultiPolygon (((910075.81018873816356063 7010785.81643888261169195, 910099.29860129544977099 7010779.39404843747615814, 910094.2669603117974475 7010760.98074960149824619, 910070.7785477542784065 7010767.4216869967058301, 910075.81018873816356063 7010785.81643888261169195)))",98638989,464.64,residential
105,yes,"MultiPolygon (((909794.31659236922860146 7010950.1831345371901989, 909778.31998154218308628 7010953.8027667673304677, 909781.78201770596206188 7010969.11661363020539284, 909797.77862853277474642 7010965.49697444215416908, 909794.31659236922860146 7010950.1831345371901989)))",98638995,257.5,residential
106,yes,"MultiPolygon (((909873.91002828639466316 7010735.23561377730220556, 909887.03459625097457319 7010735.62540972977876663, 909887.26836718164850026 7010727.64387727063149214, 909874.1437992169521749 7010727.25408170185983181, 909873.91002828639466316 7010735.23561377730220556)))",98638996,104.85,residential
107,yes,"MultiPolygon (((909872.34042346628848463 7011138.90738186798989773, 909862.93392649421002716 7011142.65703842602670193, 909870.4368601735914126 7011161.60953744687139988, 909871.26062440557871014 7011163.57718439307063818, 909880.77844086836557835 7011159.79039258509874344, 909872.58532634587027133 7011139.66845063026994467, 909872.34042346628848463 7011138.90738186798989773)))",98639004,229.13,residential
396,yes,"MultiPolygon (((909442.34662637894507498 7012000.68795830383896828, 909436.01254735293332487 7012017.48899249359965324, 909465.93522647814825177 7012028.75777228176593781, 909470.3100824662251398 7012017.15482793003320694, 909460.43604363279882818 7012013.42332461476325989, 909462.39526667096652091 7012008.24377813842147589, 909442.34662637894507498 7012000.68795830383896828)))",120833492,515.5,residential
407,yes,"MultiPolygon (((910245.66146779048722237 7010893.99551577307283878, 910260.21092523739207536 7010890.22741411812603474, 910257.12737534230109304 7010878.29201029147952795, 910242.56678594660479575 7010882.0601063035428524, 910245.66146779048722237 7010893.99551577307283878)))",165386104,185.36,residential
93,yes,"MultiPolygon (((910293.19489035941660404 7010832.61094861011952162, 910305.49569409200921655 7010849.01971917692571878, 910327.72619640349876136 7010832.33251953776925802, 910315.42539267067331821 7010815.94234521873295307, 910293.19489035941660404 7010832.61094861011952162)))",98603924,569.72,residential
91,yes,"MultiPolygon (((910217.72027560137212276 7010946.95331024099141359, 910233.29387236351612955 7010943.94623362272977829, 910230.41069755190983415 7010929.00367837306112051, 910214.83710078988224268 7010932.01074935309588909, 910217.72027560137212276 7010946.95331024099141359)))",98603922,241.38,residential
92,yes,"MultiPolygon (((910511.68165493931155652 7010752.99919175077229738, 910499.78160137345548719 7010736.96185316145420074, 910495.50693292694631964 7010740.11734547093510628, 910492.10055650875438005 7010735.53260116931051016, 910480.456537771737203 7010744.16380214784294367, 910490.4975558411097154 7010757.69531668070703745, 910498.57935087289661169 7010751.69986913539469242, 910503.85589473647996783 7010758.80902260355651379, 910511.68165493931155652 7010752.99919175077229738)))",98603923,389.63,residential
